Qty,Value,Device,Package,Parts
1,0.1uF,C0603,C0603,C7
3,100K,R0603,R0603,R1 R7 R8
2,10K,R0603,R0603,R11 R12
4,10uF,C0603,C0603,C1 C2  C4  C6
1,1K,R0603,R0603,R2
3,1uF,C0603,C0603,C3  C5  C8
2,22R,R0603,R0603,R3  R4
2,2K,R0603,R0603,R5  R6
1,8MHz,RESONATOR SMD,RESONATOR-SMD,Y1
1,ATMEGA32U4-MU,MCU,QFN-44,U1
1,DS3231M,RTC,SOIC8,RTC1
1,MBR120,Schottky Diode,SOD-123,D1
1,MCP73831T-2ACI/OT,LiPoly Charger,SOT23-5,U2
1,MCS2S-A15F,SPDT Slide Switch,MCS2S-A15F,S1
1,MIC5225-3.3YM5-TR,Voltage Regulator 3.3V,SOT23-5,U3
1,USB-MICROB,USB Connector,USB-MICROB-SMD,X2
